JURISDICTION_ID,STATION_ID,stationLink,name,status,modeOriginal,mode,lat,long,existing_housing_units,baseline_under_zoning,plexify_reform,multiply_reform,legalize_reform,middle_reform,all_reforms
G53057745,S391045515,N 10-RapidRide F-Bus Rapid Transit-existing,N 10,existing,Bus Rapid Transit,Rapid Transit,47.49817,-122.20605,1,1,1,1,1,1,1
G53072625,S4169951618,South Boeing Access Road-Link 1 Line-Light Rail-planned,South Boeing Access Road,planned,Light Rail,Light Rail,47.50729,-122.2823,128,128,406,128,160,128,438
G53063000,S221290123,20th Avenue-RapidRide H-Bus Rapid Transit-proposed,20th Avenue,proposed,Bus Rapid Transit,Rapid Transit,47.51735,-122.35921,421,706,831,1101,706,1682,2034
G53063000,S102634087,35-RapidRide C-Bus Rapid Transit-existing,35,existing,Bus Rapid Transit,Rapid Transit,47.52107,-122.37676,1810,2132,4187,2640,2132,2230,4695
G53063000,S102634080,45-RapidRide C-Bus Rapid Transit-existing,45,existing,Bus Rapid Transit,Rapid Transit,47.52078,-122.3902,554,601,1363,692,601,623,1458
G53063000,S3248357563,California-RapidRide C-Bus Rapid Transit-existing,California,existing,Bus Rapid Transit,Rapid Transit,47.56112,-122.38678,3203,3738,5334,4567,3738,3941,6219
G53063000,S167552491,Rainier Beach-Red Line (Central Link)-Light Rail-existing,Rainier Beach,existing,Light Rail,Light Rail,47.52238,-122.27942,1635,3216,4605,4307,3346,3580,6041
G53063000,S1737913377,SW Barton-RapidRide C-Bus Rapid Transit-existing,SW Barton,existing,Bus Rapid Transit,Rapid Transit,47.5232,-122.39305,201,205,546,205,205,205,546
G53063000,S221290286,25th Avenue-RapidRide H-Bus Rapid Transit-proposed,25th Avenue,proposed,Bus Rapid Transit,Rapid Transit,47.52101,-122.36465,314,544,721,819,544,630,1014
G53063000,S1444897563,Westwood Village-RapidRide C-Bus Rapid Transit-existing,Westwood Village,existing,Bus Rapid Transit,Rapid Transit,47.52102,-122.36738,150,181,478,222,181,201,519
G53063000,S934348127,SW Henderson-RapidRide H-Bus Rapid Transit-proposed,SW Henderson,proposed,Bus Rapid Transit,Rapid Transit,47.52294,-122.3604,736,973,1382,1411,973,1146,1833
G53057745,S2291850090,Northeast 44-Stride S1-Bus Rapid Transit-planned,Northeast 44,planned,Bus Rapid Transit,Rapid Transit,47.53227,-122.19746,344,400,988,400,400,580,1168
G53063000,S3579694214,SW Thistle-RapidRide H-Bus Rapid Transit-proposed,SW Thistle,proposed,Bus Rapid Transit,Rapid Transit,47.52832,-122.3604,943,1032,1884,1256,1032,1093,2111
G53063000,S1168298094,SW Rose-RapidRide C-Bus Rapid Transit-existing,SW Rose,existing,Bus Rapid Transit,Rapid Transit,47.52976,-122.3927,447,448,841,448,448,448,841
G53063000,S3713038521,SW Holden-RapidRide H-Bus Rapid Transit-proposed,SW Holden,proposed,Bus Rapid Transit,Rapid Transit,47.53355,-122.36039,1025,1190,1920,1407,1190,1262,2151
G53063000,S3302331061,Othello-Red Line (Central Link)-Light Rail-existing,Othello,existing,Light Rail,Light Rail,47.53815,-122.28167,1823,3018,4598,3834,3018,3567,5694
G53063000,S3730083365,SW Webster-RapidRide C-Bus Rapid Transit-existing,SW Webster,existing,Bus Rapid Transit,Rapid Transit,47.53591,-122.39247,456,642,1038,699,642,722,1165
G53063000,S701142526,SW Myrtle-RapidRide C-Bus Rapid Transit-existing,SW Myrtle,existing,Bus Rapid Transit,Rapid Transit,47.53974,-122.39068,928,1003,1812,1218,1003,1085,2027
G53063000,S211781286,SW Myrtle-RapidRide H-Bus Rapid Transit-proposed,SW Myrtle,proposed,Bus Rapid Transit,Rapid Transit,47.53919,-122.36093,672,692,1405,718,692,716,1441
G53063000,S2745647335,South Graham Street-Link 1 Line-Light Rail-planned,South Graham Street,planned,Light Rail,Light Rail,47.54609,-122.2856,1640,3005,4367,3600,3005,3495,5319
G53063000,S97980399,Fauntleroy Way SW-RapidRide C-Bus Rapid Transit-existing,Fauntleroy Way SW,existing,Bus Rapid Transit,Rapid Transit,47.54471,-122.38834,2905,3461,4586,4379,3461,3794,5541
G53033805,S700365787,Central Issaquah-South Kirkland-Issaquah Link-Light Rail-planned,Central Issaquah-South Kirkland,planned,Light Rail,Light Rail,47.54794,-122.06318,33,33,101,33,33,33,101
G53063000,S1493436643,SW Holly-RapidRide H-Bus Rapid Transit-proposed,SW Holly,proposed,Bus Rapid Transit,Rapid Transit,47.54297,-122.36119,355,360,942,360,360,360,942
G53063000,S160919853,SW Graham-RapidRide H-Bus Rapid Transit-proposed,SW Graham,proposed,Bus Rapid Transit,Rapid Transit,47.54674,-122.36293,632,836,1132,857,836,1194,1502
G53063000,S4239585140,SW Findlay-RapidRide C-Bus Rapid Transit-existing,SW Findlay,existing,Bus Rapid Transit,Rapid Transit,47.55211,-122.38704,1898,2276,3510,2782,2276,2457,4081
G53063000,S1070358700,SW Findlay-RapidRide H-Bus Rapid Transit-proposed,SW Findlay,proposed,Bus Rapid Transit,Rapid Transit,47.55194,-122.36298,1090,1508,2184,2066,1508,1711,2764
G53063000,S145287161,Columbia City-Red Line (Central Link)-Light Rail-existing,Columbia City,existing,Light Rail,Light Rail,47.55984,-122.29277,2751,4230,5387,5289,4230,5241,7117
G53063000,S2765979172,Fauntleroy-RapidRide C-Bus Rapid Transit-existing,Fauntleroy,existing,Bus Rapid Transit,Rapid Transit,47.56107,-122.3818,1413,1725,2193,2138,1725,1838,2632
G53063000,S1513068342,SW Hudson-RapidRide H-Bus Rapid Transit-proposed,SW Hudson,proposed,Bus Rapid Transit,Rapid Transit,47.55744,-122.36289,617,696,1254,870,696,734,1428
G53063000,S1470314101,Alaska Junction-West Seattle Link Extension-Light Rail-planned,Alaska Junction,planned,Light Rail,Light Rail,47.55936,-122.38567,1551,2079,2366,2997,2079,2231,3296
G53063000,S674486270,SW Avalon-RapidRide C-Bus Rapid Transit-existing,SW Avalon,existing,Bus Rapid Transit,Rapid Transit,47.56407,-122.37621,2158,2525,2611,3239,2525,2581,3325
G53063000,S3019114023,SW Genesee-RapidRide H-Bus Rapid Transit-proposed,SW Genesee,proposed,Bus Rapid Transit,Rapid Transit,47.56478,-122.36332,205,246,388,326,246,274,468
G53063000,S733423198,Delridge-West Seattle Link Extension-Light Rail-planned,Delridge,planned,Light Rail,Light Rail,47.56572,-122.36491,330,386,405,734,386,457,753
G53063000,S547331605,Avalon-West Seattle Link Extension-Light Rail-planned,Avalon,planned,Light Rail,Light Rail,47.56472,-122.37648,688,688,1106,709,688,695,1127
G53063000,S3071347240,Bradford/Yancy-RapidRide C-Bus Rapid Transit-existing,Bradford/Yancy,existing,Bus Rapid Transit,Rapid Transit,47.5684,-122.37081,979,1463,1677,2249,1495,1618,2519
G53063000,S3184407608,SW Andover-RapidRide H-Bus Rapid Transit-proposed,SW Andover,proposed,Bus Rapid Transit,Rapid Transit,47.56835,-122.36326,347,520,665,774,520,633,933
G53063000,S2508948126,Mount Baker-Red Line (Central Link)-Light Rail-existing,Mount Baker,existing,Light Rail,Light Rail,47.5764,-122.29757,2345,3522,4486,4289,3522,3788,5443
